---,MaxStructure,MaxArmor
CGR-3K,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
CGR-N7,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
CHP-1N,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
CHP-1N2,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
CHP-1NB,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
CHP-2N,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
CN9-A,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CN9-AH,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CN9-AL,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CN9-D,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CN9-P,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CN9-YLW,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CN9-YLW2,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
COM-1B,"(Head=1500.000000,CenterTorso=1600.000000,LeftTorso=1200.000000,RightTorso=1200.000000,LeftArm=800.000000,RightArm=800.000000,LeftLeg=1200.000000,RightLeg=1200.000000)","(Head=3000.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)"
COM-1D,"(Head=1500.000000,CenterTorso=1600.000000,LeftTorso=1200.000000,RightTorso=1200.000000,LeftArm=800.000000,RightArm=800.000000,LeftLeg=1200.000000,RightLeg=1200.000000)","(Head=3000.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)"
COM-2D,"(Head=1500.000000,CenterTorso=1600.000000,LeftTorso=1200.000000,RightTorso=1200.000000,LeftArm=800.000000,RightArm=800.000000,LeftLeg=1200.000000,RightLeg=1200.000000)","(Head=3000.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)"
COM-2P,"(Head=1500.000000,CenterTorso=1600.000000,LeftTorso=1200.000000,RightTorso=1200.000000,LeftArm=800.000000,RightArm=800.000000,LeftLeg=1200.000000,RightLeg=1200.000000)","(Head=3000.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)"
COM-3A,"(Head=1500.000000,CenterTorso=1600.000000,LeftTorso=1200.000000,RightTorso=1200.000000,LeftArm=800.000000,RightArm=800.000000,LeftLeg=1200.000000,RightLeg=1200.000000)","(Head=3000.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)"
COM-TDK,"(Head=1500.000000,CenterTorso=1600.000000,LeftTorso=1200.000000,RightTorso=1200.000000,LeftArm=800.000000,RightArm=800.000000,LeftLeg=1200.000000,RightLeg=1200.000000)","(Head=3000.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)"
COR-LZ,"(Head=1500.000000,CenterTorso=6000.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4000.000000,RightLeg=4000.000000)","(Head=3000.000000,CenterTorso=12000.000000,LeftTorso=8000.000000,RightTorso=8000.000000,LeftArm=6400.000000,RightArm=6400.000000,LeftLeg=8000.000000,RightLeg=8000.000000)"
COR-PVT,"(Head=1500.000000,CenterTorso=6000.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4000.000000,RightLeg=4000.000000)","(Head=3000.000000,CenterTorso=12000.000000,LeftTorso=8000.000000,RightTorso=8000.000000,LeftArm=6400.000000,RightArm=6400.000000,LeftLeg=8000.000000,RightLeg=8000.000000)"
COR-XT1,"(Head=1500.000000,CenterTorso=6000.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4000.000000,RightLeg=4000.000000)","(Head=3000.000000,CenterTorso=12000.000000,LeftTorso=8000.000000,RightTorso=8000.000000,LeftArm=6400.000000,RightArm=6400.000000,LeftLeg=8000.000000,RightLeg=8000.000000)"
CP-10-P,"(Head=1500.000000,CenterTorso=5800.000000,LeftTorso=3800.000000,RightTorso=3800.000000,LeftArm=3000.000000,RightArm=3000.000000,LeftLeg=3800.000000,RightLeg=3800.000000)","(Head=3000.000000,CenterTorso=11600.000000,LeftTorso=7600.000000,RightTorso=7600.000000,LeftArm=6000.000000,RightArm=6000.000000,LeftLeg=7600.000000,RightLeg=7600.000000)"
CP-10-Q,"(Head=1500.000000,CenterTorso=5800.000000,LeftTorso=3800.000000,RightTorso=3800.000000,LeftArm=3000.000000,RightArm=3000.000000,LeftLeg=3800.000000,RightLeg=3800.000000)","(Head=3000.000000,CenterTorso=11600.000000,LeftTorso=7600.000000,RightTorso=7600.000000,LeftArm=6000.000000,RightArm=6000.000000,LeftLeg=7600.000000,RightLeg=7600.000000)"
CP-10-Z,"(Head=1500.000000,CenterTorso=5800.000000,LeftTorso=3800.000000,RightTorso=3800.000000,LeftArm=3000.000000,RightArm=3000.000000,LeftLeg=3800.000000,RightLeg=3800.000000)","(Head=3000.000000,CenterTorso=11600.000000,LeftTorso=7600.000000,RightTorso=7600.000000,LeftArm=6000.000000,RightArm=6000.000000,LeftLeg=7600.000000,RightLeg=7600.000000)"
CP-11-A,"(Head=1500.000000,CenterTorso=5800.000000,LeftTorso=3800.000000,RightTorso=3800.000000,LeftArm=3000.000000,RightArm=3000.000000,LeftLeg=3800.000000,RightLeg=3800.000000)","(Head=3000.000000,CenterTorso=11600.000000,LeftTorso=7600.000000,RightTorso=7600.000000,LeftArm=6000.000000,RightArm=6000.000000,LeftLeg=7600.000000,RightLeg=7600.000000)"
CP-11-P,"(Head=1500.000000,CenterTorso=5800.000000,LeftTorso=3800.000000,RightTorso=3800.000000,LeftArm=3000.000000,RightArm=3000.000000,LeftLeg=3800.000000,RightLeg=3800.000000)","(Head=3000.000000,CenterTorso=11600.000000,LeftTorso=7600.000000,RightTorso=7600.000000,LeftArm=6000.000000,RightArm=6000.000000,LeftLeg=7600.000000,RightLeg=7600.000000)"
CP-S,"(Head=1500.000000,CenterTorso=5800.000000,LeftTorso=3800.000000,RightTorso=3800.000000,LeftArm=3000.000000,RightArm=3000.000000,LeftLeg=3800.000000,RightLeg=3800.000000)","(Head=3000.000000,CenterTorso=11600.000000,LeftTorso=7600.000000,RightTorso=7600.000000,LeftArm=6000.000000,RightArm=6000.000000,LeftLeg=7600.000000,RightLeg=7600.000000)"
CPLT-A1,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CPLT-BB,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CPLT-C1,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CPLT-C1B,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CPLT-C4,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CPLT-J,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CPLT-K2-S,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CPLT-K2,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRB-20,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CRB-27,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CRB-27B,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CRB-27SL,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CRB-FL,"(Head=1500.000000,CenterTorso=3200.000000,LeftTorso=2400.000000,RightTorso=2400.000000,LeftArm=1600.000000,RightArm=1600.000000,LeftLeg=2400.000000,RightLeg=2400.000000)","(Head=3000.000000,CenterTorso=6400.000000,LeftTorso=4800.000000,RightTorso=4800.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4800.000000,RightLeg=4800.000000)"
CRD-2R,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRD-3D,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRD-3K,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRD-3L,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRD-3R,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRD-4D,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRD-4K,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRD-4L,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRD-5M,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRD-5S,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CRD-CR,"(Head=1500.000000,CenterTorso=4200.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8400.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CTF-0X,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CTF-0XP,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CTF-1X,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CTF-2P,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CTF-2X,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CTF-4X,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CTF-VE1,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
CTF-IM,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
DRG-1C,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
DRG-1G-S,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
DRG-1G,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
DRG-1N,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
DRG-5N,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
DRG-FANG,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
DRG-FLAME,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
DRG-SDW,"(Head=1500.000000,CenterTorso=4000.000000,LeftTorso=2800.000000,RightTorso=2800.000000,LeftArm=2000.000000,RightArm=2000.000000,LeftLeg=2800.000000,RightLeg=2800.000000)","(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=5600.000000,RightTorso=5600.000000,LeftArm=4000.000000,RightArm=4000.000000,LeftLeg=5600.000000,RightLeg=5600.000000)"
